,adm_date,age,count
0,2019-12-13,28,1
1,2020-02-12,72,1
2,2020-02-19,48,1
3,2020-02-28,55,1
4,2020-03-02,54,1
5,2020-03-02,60,1
6,2020-03-07,26,1
7,2020-03-07,51,1
8,2020-03-10,61,1
9,2020-03-11,45,1
10,2020-03-12,78,1
11,2020-03-12,82,1
12,2020-03-13,64,1
13,2020-03-13,74,1
14,2020-03-14,42,1
15,2020-03-14,75,1
16,2020-03-16,54,1
17,2020-03-16,65,1
18,2020-03-16,69,1
19,2020-03-16,76,1
20,2020-03-17,22,1
21,2020-03-17,34,1
22,2020-03-17,65,1
23,2020-03-17,73,1
24,2020-03-18,32,1
25,2020-03-18,58,1
26,2020-03-18,72,1
27,2020-03-18,77,1
28,2020-03-18,89,2
29,2020-03-19,31,1
30,2020-03-19,33,1
31,2020-03-19,38,1
32,2020-03-19,41,1
33,2020-03-19,50,1
34,2020-03-19,60,1
35,2020-03-19,63,1
36,2020-03-19,77,1
37,2020-03-19,81,1
38,2020-03-20,31,1
39,2020-03-20,65,1
40,2020-03-20,71,1
41,2020-03-20,72,1
42,2020-03-20,89,1
43,2020-03-21,49,1
44,2020-03-21,73,1
45,2020-03-21,74,1
46,2020-03-21,82,1
47,2020-03-22,44,1
48,2020-03-22,55,1
49,2020-03-22,69,1
50,2020-03-23,21,1
51,2020-03-23,41,1
52,2020-03-23,56,1
53,2020-03-23,65,1
54,2020-03-23,72,1
55,2020-03-23,73,1
56,2020-03-23,74,1
57,2020-03-23,89,2
58,2020-03-24,28,1
59,2020-03-24,34,1
60,2020-03-24,47,1
61,2020-03-24,54,1
62,2020-03-24,65,1
63,2020-03-25,35,1
64,2020-03-25,42,1
65,2020-03-25,63,1
66,2020-03-25,71,1
67,2020-03-25,74,1
68,2020-03-25,75,1
69,2020-03-25,79,1
70,2020-03-25,86,1
71,2020-03-26,38,1
72,2020-03-26,52,2
73,2020-03-26,60,1
74,2020-03-26,71,1
75,2020-03-27,31,1
76,2020-03-27,34,1
77,2020-03-27,47,1
78,2020-03-27,55,1
79,2020-03-27,56,1
80,2020-03-27,66,1
81,2020-03-27,76,1
82,2020-03-28,39,1
83,2020-03-28,41,1
84,2020-03-28,51,1
85,2020-03-28,60,1
86,2020-03-28,64,2
87,2020-03-28,85,1
88,2020-03-28,86,1
89,2020-03-29,34,1
90,2020-03-29,36,2
91,2020-03-29,42,1
92,2020-03-29,60,1
93,2020-03-29,70,1
94,2020-03-29,81,1
95,2020-03-29,82,1
96,2020-03-29,84,1
97,2020-03-29,88,1
98,2020-03-30,26,1
99,2020-03-30,37,1
100,2020-03-30,45,1
101,2020-03-30,71,1
102,2020-03-30,73,1
103,2020-03-30,78,1
104,2020-03-30,84,1
105,2020-03-30,89,1
106,2020-03-31,45,1
107,2020-03-31,60,2
108,2020-03-31,62,1
109,2020-03-31,76,1
110,2020-04-01,39,1
111,2020-04-01,57,1
112,2020-04-01,71,1
113,2020-04-01,73,1
114,2020-04-01,76,1
115,2020-04-01,86,1
116,2020-04-01,89,1
117,2020-04-02,52,1
118,2020-04-02,56,1
119,2020-04-02,66,1
120,2020-04-02,71,2
121,2020-04-02,75,1
122,2020-04-02,86,1
123,2020-04-03,34,1
124,2020-04-03,43,1
125,2020-04-03,45,1
126,2020-04-03,47,1
